GMT,SAMC1,SACC1,VONC1,FMWC1,DRMC1,FPOC1,RCVC1,SACC1,FMWC1L,SACC1L,SAMC1L,NCOC1L,SACC1,SAMC1,NCOC1
,QINE,QINE,QINE,QINE,QINE,QINE,QINE,SQIN,SQIN,SQIN,SQIN,SQIN,SSTG,SSTG,SSTG
2026-05-24 18:00:00,2.46956,10.35864,6.09639,7.10844,0.17861,6.62074,0.02784,8.33331,0.0278,0.02062,0.00046,0,5.75,16.59,16.95002
2026-05-24 19:00:00,2.46956,10.50088,6.08118,7.12222,0.1808,4.5005,0.02784,8.36891,0.02779,0.0206,0.00046,0,5.8,16.59,16.93998
2026-05-24 20:00:00,2.45139,11.02485,6.05077,7.13603,0.17861,3.73042,0.02784,8.40044,0.02778,0.02059,0.00046,0,5.98,16.58,16.93998
2026-05-24 21:00:00,2.46956,11.8042,6.05077,7.14984,0.17645,4.71053,0.02784,8.42183,0.02777,0.02058,0.00046,0,6.24,16.59,16.93998
2026-05-24 22:00:00,2.46956,11.8042,6.06597,7.14984,0.17645,7.93088,0.02725,8.433,0.02776,0.02057,0.00046,0,6.24,16.59,16.93998
2026-05-24 23:00:00,2.46956,11.62257,6.09639,7.17751,0.17645,9.40105,0.02725,8.43453,0.02775,0.02055,0.00046,0,6.18,16.59,16.93998
2026-05-25 00:00:00,2.46956,11.29235,6.14211,7.19137,0.17645,10.40116,0.02784,8.42929,0.02774,0.02054,0.00046,0,6.07,16.59,16.93998
2026-05-25 01:00:00,2.45139,10.87728,6.18794,7.19137,0.17645,10.60118,0.02784,8.41728,0.02773,0.02053,0.00046,0,5.93,16.58,16.93998
2026-05-25 02:00:00,2.45139,10.35864,6.20323,7.20524,0.17431,11.10124,0.02784,8.40275,0.02773,0.02052,0.00046,0,5.75,16.58,16.93998
2026-05-25 03:00:00,2.46956,9.90827,6.21854,7.20524,0.17645,11.50128,0.02784,8.39462,0.02772,0.0205,0.00046,0,5.59,16.59,16.93998
2026-05-25 04:00:00,2.46956,9.46525,6.21854,7.21913,0.17861,10.60118,0.02844,8.39746,0.02771,0.02049,0.00046,0,5.43,16.59,16.93998
2026-05-25 05:00:00,2.46956,9.01457,6.20323,7.21913,0.17645,8.1109,0.02906,8.41346,0.0277,0.02048,0.00046,0,5.27,16.59,16.93998
2026-05-25 06:00:00,2.46956,8.9577,6.18794,7.23304,0.17861,5.31059,0.0297,8.44159,0.02769,0.02046,0.00046,0,5.25,16.59,16.96998
2026-05-25 07:00:00,2.45139,9.52023,6.17265,7.24696,0.1722,2.37026,0.03034,8.47326,0.02768,0.02045,0.00046,0,5.45,16.58,16.97999
2026-05-25 08:00:00,2.45139,10.41545,6.15738,7.24696,0.17431,0.30803,0.031,8.50097,0.02767,0.02044,0.00046,0,5.77,16.58,16.97999
2026-05-25 09:00:00,2.45139,11.53216,6.17265,7.26089,0.17645,0.32204,0.031,8.52238,0.02767,0.02043,0.00046,0,6.15,16.58,16.98999
2026-05-25 10:00:00,2.45139,12.62026,6.20323,7.2888,0.17861,0.43905,0.03164,8.53424,0.02766,0.02041,0.00046,0,6.51,16.58,17
2026-05-25 11:00:00,2.43333,13.38074,6.23385,7.30278,0.1722,3.75042,0.03229,8.53624,0.02765,0.0204,0.00046,0,6.76,16.57,17.01002
2026-05-25 12:00:00,2.43333,13.38074,6.32601,7.3308,0.17645,7.83087,0.03295,8.5313,0.02764,0.02039,0.00046,0,6.76,16.57,17.01999
